date_bst,session,tool,purpose,query_or_url
2026-09-11 14:51,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Syntetos Boylan Croston 2005 ""On the categorization of demand patterns"" Journal of the Operational Research Society volume pages"
2026-09-11 14:51,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Nahmias 1982 ""Perishable inventory theory: a review"" Operations Research volume 30 pages"
2026-09-11 14:51,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Lundberg Lee 2017 ""A Unified Approach to Interpreting Model Predictions"" SHAP NeurIPS Advances in Neural Information Processing Systems pages"
2026-09-11 14:51,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Dietvorst Simmons Massey 2015 ""Algorithm aversion"" Journal of Experimental Psychology General volume pages"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Corsten Gruen ""Desperately seeking shelf availability"" retail out-of-stock lost sales International Journal of Retail Distribution Management 2003 volume pages"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"van Donselaar Gaur van Woensel Broekmeulen Fransoo ""Ordering behavior in retail stores"" Production and Operations Management 2010 volume pages"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Huber Stuckenschmidt 2020 ""Daily retail demand forecasting using machine learning with emphasis on calendric special days"" International Journal of Forecasting volume pages"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Prak Teunter Syntetos ""On the calculation of safety stocks when demand is forecasted"" European Journal of Operational Research volume pages"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Syntetos Boylan 2006 ""On the stock control performance of intermittent demand estimators"" International Journal of Production Economics volume pages inventory implications forecast accuracy"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"van Donselaar Broekmeulen ""Inventory control of perishables in supermarkets"" International Journal of Production Economics 2006 volume pages FIFO issuing"
2026-09-11 14:52,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Pierskalla Roach 1972 ""Optimal issuing policies for perishable inventory"" Management Science volume pages FIFO LIFO"
2026-09-11 14:53,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Teunter Babai Syntetos ""ABC classification: service levels and inventory costs"" Production and Operations Management 2010 volume pages"
2026-09-11 14:53,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,Nikolopoulos Syntetos Boylan Petropoulos Assimakopoulos ADIDA aggregate disaggregate intermittent demand approach temporal aggregation Journal of the Operational Research Society 2011
2026-09-12 00:32,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,Miguéis 2022 fresh fish demand forecasting grocery retail food waste machine learning journal
2026-09-12 00:32,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,Posch 2020 forecasting demand staff canteens restaurants menu item daily quantities food waste
2026-09-12 00:32,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,"""Machine learning models for short-term demand forecasting in food catering services"" solution to reduce food waste authors journal year"
2026-09-12 00:32,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,Seyam 2025 food demand forecasting waste reduction dynamic inventory replenishment predicted demand study
2026-09-12 00:34,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,"Posch Truden Hungerländer Pilz ""A Bayesian approach for predicting food and beverage sales in staff canteens and restaurants"" International Journal of Forecasting volume issue pages 2022"
2026-09-12 00:34,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,"""A stacking ensemble model for food demand forecasting"" preventative approach food waste reduction Seyam authors journal volume 2025"
2026-09-12 00:35,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,"""Reducing fresh fish waste while ensuring availability"" Miguéis Pereira Figueira Journal of Cleaner Production volume article number 2022 doi"
2026-09-12 01:02,a670ab93,WebSearch,Verifying sources introduced in the author's Chapter 2 text,Aci Yergök 2023 restaurant food demand forecasting machine learning study
2026-09-14 15:27,a670ab93,WebSearch,Verifying calibration sources and figures,"Saputra 2024 ""Modeling the Impact of Holidays and Events on Retail Demand Forecasting using SARIMAX"" results holiday effect percentage increase MAPE improvement"
2026-09-14 15:30,a670ab93,WebFetch,Verifying calibration sources and figures,https://jdmdc.com/index.php/JDMDC/article/view/9
2026-09-14 15:30,a670ab93,WebFetch,Verifying calibration sources and figures,https://econpapers.repec.org/RePEc:eee:joreco:v:52:y:2020:i:c:s0969698919303236
2026-09-14 15:36,a670ab93,WebFetch,Verifying calibration sources and figures,https://econpapers.repec.org/RePEc:eee:intfor:v:36:y:2020:i:4:p:1420-1438
2026-09-14 15:36,a670ab93,WebSearch,Verifying calibration sources and figures,"Arunraj Ahrens 2016 ""Application of SARIMAX Model to Forecast Daily Sales in Food Retail Industry"" International Journal of Operations Research and Information Systems holiday effect results"
2026-09-14 15:54,a670ab93,WebSearch,UK sector statistics: WRAP,"WRAP ""UK Food Waste & Food Surplus - Key Facts"" November 2023 hospitality and food service 1.1 million tonnes edible £3.2 billion 2021 data"
2026-09-14 15:54,a670ab93,WebFetch,Referencing style: Solent Harvard guide,https://libguides.solent.ac.uk/c.php?g=718089&p=5208221
2026-09-14 15:54,a670ab93,WebFetch,Referencing style: Solent Harvard guide,https://libguides.solent.ac.uk/c.php?g=702163&p=5225961
