date,sku,category,shelf_life_days,units_sold,temp_c,bank_holiday,school_holiday,weekend,dow,promo
2024-02-28,Burger Buns,Bakery,3,111,2.9,0,0,0,2,0
2024-02-29,Burger Buns,Bakery,3,180,7.1,0,0,0,3,1
2024-03-01,Burger Buns,Bakery,3,182,1.3,0,0,1,4,0
2024-03-02,Burger Buns,Bakery,3,185,4.4,0,0,1,5,0
2024-03-03,Burger Buns,Bakery,3,178,5.6,0,0,1,6,0
2024-03-04,Burger Buns,Bakery,3,111,6.6,0,0,0,0,0
2024-03-05,Burger Buns,Bakery,3,157,7.0,0,0,0,1,1
2024-03-06,Burger Buns,Bakery,3,122,7.3,0,0,0,2,0
2024-03-07,Burger Buns,Bakery,3,115,4.8,0,0,0,3,0
2024-03-08,Burger Buns,Bakery,3,203,4.7,0,0,1,4,0
2024-03-09,Burger Buns,Bakery,3,194,7.7,0,0,1,5,0
2024-03-10,Burger Buns,Bakery,3,180,5.5,0,0,1,6,0
2024-03-11,Burger Buns,Bakery,3,105,3.2,0,0,0,0,0
2024-03-12,Burger Buns,Bakery,3,129,3.6,0,0,0,1,0
2024-03-13,Burger Buns,Bakery,3,117,4.2,0,0,0,2,0
2024-03-14,Burger Buns,Bakery,3,119,7.5,0,0,0,3,0
2024-03-15,Burger Buns,Bakery,3,226,6.8,0,0,1,4,0
2024-03-16,Burger Buns,Bakery,3,186,8.1,0,0,1,5,0
2024-03-17,Burger Buns,Bakery,3,192,5.8,0,0,1,6,0
2024-03-18,Burger Buns,Bakery,3,103,7.2,0,0,0,0,0
2024-03-19,Burger Buns,Bakery,3,126,8.3,0,0,0,1,0
2024-03-20,Burger Buns,Bakery,3,195,6.4,0,0,0,2,1
2024-03-21,Burger Buns,Bakery,3,143,8.2,0,0,0,3,0
2024-03-22,Burger Buns,Bakery,3,190,5.8,0,0,1,4,0
2024-03-23,Burger Buns,Bakery,3,211,6.6,0,0,1,5,0
2024-03-24,Burger Buns,Bakery,3,210,6.7,0,0,1,6,0
2024-03-25,Burger Buns,Bakery,3,130,5.0,0,0,0,0,0
2024-03-26,Burger Buns,Bakery,3,126,8.9,0,0,0,1,0
2024-03-27,Burger Buns,Bakery,3,138,6.9,0,0,0,2,0
2024-03-28,Burger Buns,Bakery,3,115,8.1,0,0,0,3,0
2024-03-29,Burger Buns,Bakery,3,296,9.2,1,0,1,4,0
2024-03-30,Burger Buns,Bakery,3,208,9.3,0,0,1,5,0
2024-03-31,Burger Buns,Bakery,3,194,9.9,0,0,1,6,0
2024-04-01,Burger Buns,Bakery,3,178,8.3,1,1,0,0,0
2024-04-02,Burger Buns,Bakery,3,107,7.8,0,1,0,1,0
2024-04-03,Burger Buns,Bakery,3,151,8.7,0,1,0,2,0
2024-04-04,Burger Buns,Bakery,3,125,5.2,0,1,0,3,0
2024-04-05,Burger Buns,Bakery,3,180,5.9,0,1,1,4,0
2024-04-06,Burger Buns,Bakery,3,222,6.3,0,1,1,5,0
2024-04-07,Burger Buns,Bakery,3,217,7.2,0,1,1,6,0
2024-04-08,Burger Buns,Bakery,3,114,10.4,0,1,0,0,0
2024-04-09,Burger Buns,Bakery,3,114,7.6,0,1,0,1,0
2024-04-10,Burger Buns,Bakery,3,139,8.9,0,1,0,2,0
2024-04-11,Burger Buns,Bakery,3,143,12.8,0,1,0,3,0
2024-04-12,Burger Buns,Bakery,3,207,9.3,0,1,1,4,0
2024-04-13,Burger Buns,Bakery,3,204,11.8,0,1,1,5,0
2024-04-14,Burger Buns,Bakery,3,237,8.3,0,1,1,6,0
2024-04-15,Burger Buns,Bakery,3,130,10.0,0,0,0,0,0
2024-04-16,Burger Buns,Bakery,3,135,8.5,0,0,0,1,0
2024-04-17,Burger Buns,Bakery,3,151,10.0,0,0,0,2,0
2024-04-18,Burger Buns,Bakery,3,138,12.7,0,0,0,3,0
2024-04-19,Burger Buns,Bakery,3,195,7.2,0,0,1,4,0
2024-04-20,Burger Buns,Bakery,3,297,12.1,0,0,1,5,1
2024-04-21,Burger Buns,Bakery,3,223,11.8,0,0,1,6,0
2024-04-22,Burger Buns,Bakery,3,121,10.1,0,0,0,0,0
2024-04-23,Burger Buns,Bakery,3,126,8.4,0,0,0,1,0
2024-04-24,Burger Buns,Bakery,3,154,11.8,0,0,0,2,0
2024-04-25,Burger Buns,Bakery,3,131,10.7,0,0,0,3,0
2024-04-26,Burger Buns,Bakery,3,206,12.5,0,0,1,4,0
2024-04-27,Burger Buns,Bakery,3,200,12.1,0,0,1,5,0
2024-04-28,Burger Buns,Bakery,3,197,15.8,0,0,1,6,0
2024-04-29,Burger Buns,Bakery,3,109,11.8,0,0,0,0,0
2024-04-30,Burger Buns,Bakery,3,125,10.3,0,0,0,1,0
2024-05-01,Burger Buns,Bakery,3,143,13.0,0,0,0,2,0
2024-05-02,Burger Buns,Bakery,3,143,13.3,0,0,0,3,0
2024-05-03,Burger Buns,Bakery,3,227,15.9,0,0,1,4,0
2024-05-04,Burger Buns,Bakery,3,210,14.9,0,0,1,5,0
2024-05-05,Burger Buns,Bakery,3,200,14.0,0,0,1,6,0
2024-05-06,Burger Buns,Bakery,3,174,16.5,1,0,0,0,0
2024-05-07,Burger Buns,Bakery,3,115,10.8,0,0,0,1,0
2024-05-08,Burger Buns,Bakery,3,132,12.2,0,0,0,2,0
2024-05-09,Burger Buns,Bakery,3,152,11.7,0,0,0,3,0
2024-05-10,Burger Buns,Bakery,3,227,13.0,0,0,1,4,0
2024-05-11,Burger Buns,Bakery,3,200,10.9,0,0,1,5,0
2024-05-12,Burger Buns,Bakery,3,241,15.5,0,0,1,6,0
2024-05-13,Burger Buns,Bakery,3,127,13.7,0,0,0,0,0
2024-05-14,Burger Buns,Bakery,3,125,11.1,0,0,0,1,0
2024-05-15,Burger Buns,Bakery,3,142,12.2,0,0,0,2,0
2024-05-16,Burger Buns,Bakery,3,125,15.3,0,0,0,3,0
2024-05-17,Burger Buns,Bakery,3,226,16.5,0,0,1,4,0
2024-05-18,Burger Buns,Bakery,3,195,19.2,0,0,1,5,0
2024-05-19,Burger Buns,Bakery,3,220,21.4,0,0,1,6,0
2024-05-20,Burger Buns,Bakery,3,117,16.0,0,0,0,0,0
2024-05-21,Burger Buns,Bakery,3,178,13.0,0,0,0,1,1
2024-05-22,Burger Buns,Bakery,3,150,10.6,0,0,0,2,0
2024-05-23,Burger Buns,Bakery,3,150,16.0,0,0,0,3,0
2024-05-24,Burger Buns,Bakery,3,216,13.7,0,0,1,4,0
2024-05-25,Burger Buns,Bakery,3,243,14.7,0,0,1,5,0
2024-05-26,Burger Buns,Bakery,3,217,14.4,0,1,1,6,0
2024-05-27,Burger Buns,Bakery,3,193,15.6,1,1,0,0,0
2024-05-28,Burger Buns,Bakery,3,128,18.3,0,1,0,1,0
2024-05-29,Burger Buns,Bakery,3,161,16.4,0,1,0,2,0
2024-05-30,Burger Buns,Bakery,3,139,15.8,0,1,0,3,0
2024-05-31,Burger Buns,Bakery,3,213,14.0,0,1,1,4,0
2024-06-01,Burger Buns,Bakery,3,201,12.7,0,0,1,5,0
2024-06-02,Burger Buns,Bakery,3,229,15.4,0,0,1,6,0
2024-06-03,Burger Buns,Bakery,3,114,16.5,0,0,0,0,0
2024-06-04,Burger Buns,Bakery,3,167,20.6,0,0,0,1,1
2024-06-05,Burger Buns,Bakery,3,138,17.1,0,0,0,2,0
2024-06-06,Burger Buns,Bakery,3,132,19.0,0,0,0,3,0
2024-06-07,Burger Buns,Bakery,3,216,15.9,0,0,1,4,0
2024-06-08,Burger Buns,Bakery,3,202,14.5,0,0,1,5,0
2024-06-09,Burger Buns,Bakery,3,204,15.0,0,0,1,6,0
2024-06-10,Burger Buns,Bakery,3,130,15.6,0,0,0,0,0
2024-06-11,Burger Buns,Bakery,3,151,22.0,0,0,0,1,0
2024-06-12,Burger Buns,Bakery,3,140,15.6,0,0,0,2,0
2024-06-13,Burger Buns,Bakery,3,134,19.3,0,0,0,3,0
2024-06-14,Burger Buns,Bakery,3,238,15.6,0,0,1,4,0
2024-06-15,Burger Buns,Bakery,3,209,19.7,0,0,1,5,0
2024-06-16,Burger Buns,Bakery,3,220,18.6,0,0,1,6,0
2024-06-17,Burger Buns,Bakery,3,126,17.5,0,0,0,0,0
2024-06-18,Burger Buns,Bakery,3,123,17.8,0,0,0,1,0
2024-06-19,Burger Buns,Bakery,3,133,16.5,0,0,0,2,0
2024-06-20,Burger Buns,Bakery,3,124,19.0,0,0,0,3,0
2024-06-21,Burger Buns,Bakery,3,232,17.1,0,0,1,4,0
2024-06-22,Burger Buns,Bakery,3,201,15.4,0,0,1,5,0
2024-06-23,Burger Buns,Bakery,3,215,15.4,0,0,1,6,0
2024-06-24,Burger Buns,Bakery,3,119,18.6,0,0,0,0,0
2024-06-25,Burger Buns,Bakery,3,132,21.8,0,0,0,1,0
2024-06-26,Burger Buns,Bakery,3,116,18.7,0,0,0,2,0
2024-06-27,Burger Buns,Bakery,3,141,18.2,0,0,0,3,0
2024-06-28,Burger Buns,Bakery,3,233,19.1,0,0,1,4,0
2024-06-29,Burger Buns,Bakery,3,222,21.4,0,0,1,5,0
2024-06-30,Burger Buns,Bakery,3,212,19.0,0,0,1,6,0
2024-07-01,Burger Buns,Bakery,3,134,17.7,0,1,0,0,0
2024-07-02,Burger Buns,Bakery,3,143,21.1,0,1,0,1,0
2024-07-03,Burger Buns,Bakery,3,124,19.6,0,1,0,2,0
2024-07-04,Burger Buns,Bakery,3,145,22.1,0,1,0,3,0
2024-07-05,Burger Buns,Bakery,3,218,19.2,0,1,1,4,0
2024-07-06,Burger Buns,Bakery,3,210,16.1,0,1,1,5,0
2024-07-07,Burger Buns,Bakery,3,208,15.8,0,1,1,6,0
2024-07-08,Burger Buns,Bakery,3,116,22.5,0,1,0,0,0
2024-07-09,Burger Buns,Bakery,3,120,22.7,0,1,0,1,0
2024-07-10,Burger Buns,Bakery,3,141,18.5,0,1,0,2,0
2024-07-11,Burger Buns,Bakery,3,146,18.1,0,1,0,3,0
2024-07-12,Burger Buns,Bakery,3,223,22.2,0,1,1,4,0
2024-07-13,Burger Buns,Bakery,3,207,16.5,0,1,1,5,0
2024-07-14,Burger Buns,Bakery,3,197,17.0,0,1,1,6,0
2024-07-15,Burger Buns,Bakery,3,113,20.4,0,1,0,0,0
2024-07-16,Burger Buns,Bakery,3,118,18.1,0,1,0,1,0
2024-07-17,Burger Buns,Bakery,3,162,19.0,0,1,0,2,0
2024-07-18,Burger Buns,Bakery,3,136,18.6,0,1,0,3,0
2024-07-19,Burger Buns,Bakery,3,226,19.7,0,1,1,4,0
2024-07-20,Burger Buns,Bakery,3,216,22.1,0,1,1,5,0
2024-07-21,Burger Buns,Bakery,3,211,19.2,0,1,1,6,0
2024-07-22,Burger Buns,Bakery,3,129,20.4,0,1,0,0,0
2024-07-23,Burger Buns,Bakery,3,125,14.5,0,1,0,1,0
2024-07-24,Burger Buns,Bakery,3,132,18.9,0,1,0,2,0
2024-07-25,Burger Buns,Bakery,3,140,17.1,0,1,0,3,0
2024-07-26,Burger Buns,Bakery,3,188,16.3,0,1,1,4,0
2024-07-27,Burger Buns,Bakery,3,202,17.0,0,1,1,5,0
2024-07-28,Burger Buns,Bakery,3,215,18.2,0,1,1,6,0
2024-07-29,Burger Buns,Bakery,3,178,20.9,0,1,0,0,1
2024-07-30,Burger Buns,Bakery,3,130,15.9,0,1,0,1,0
2024-07-31,Burger Buns,Bakery,3,136,18.9,0,1,0,2,0
2024-08-01,Burger Buns,Bakery,3,122,17.7,0,1,0,3,0
2024-08-02,Burger Buns,Bakery,3,179,18.1,0,1,1,4,0
2024-08-03,Burger Buns,Bakery,3,198,21.0,0,1,1,5,0
2024-08-04,Burger Buns,Bakery,3,203,19.9,0,1,1,6,0
2024-08-05,Burger Buns,Bakery,3,112,21.6,0,1,0,0,0
2024-08-06,Burger Buns,Bakery,3,129,18.3,0,1,0,1,0
2024-08-07,Burger Buns,Bakery,3,142,17.1,0,1,0,2,0
2024-08-08,Burger Buns,Bakery,3,156,18.1,0,1,0,3,0
2024-08-09,Burger Buns,Bakery,3,181,19.0,0,1,1,4,0
2024-08-10,Burger Buns,Bakery,3,200,18.8,0,1,1,5,0
2024-08-11,Burger Buns,Bakery,3,181,16.0,0,1,1,6,0
2024-08-12,Burger Buns,Bakery,3,91,18.5,0,1,0,0,0
2024-08-13,Burger Buns,Bakery,3,102,18.8,0,1,0,1,0
2024-08-14,Burger Buns,Bakery,3,174,23.8,0,1,0,2,1
2024-08-15,Burger Buns,Bakery,3,122,22.3,0,1,0,3,0
2024-08-16,Burger Buns,Bakery,3,200,16.2,0,1,1,4,0
2024-08-17,Burger Buns,Bakery,3,202,17.4,0,1,1,5,0
2024-08-18,Burger Buns,Bakery,3,192,14.8,0,1,1,6,0
2024-08-19,Burger Buns,Bakery,3,124,16.6,0,1,0,0,0
2024-08-20,Burger Buns,Bakery,3,115,18.5,0,1,0,1,0
2024-08-21,Burger Buns,Bakery,3,122,20.4,0,1,0,2,0
2024-08-22,Burger Buns,Bakery,3,108,16.1,0,1,0,3,0
2024-08-23,Burger Buns,Bakery,3,222,16.2,0,1,1,4,0
2024-08-24,Burger Buns,Bakery,3,260,12.8,0,1,1,5,1
2024-08-25,Burger Buns,Bakery,3,184,17.1,0,1,1,6,0
2024-08-26,Burger Buns,Bakery,3,165,15.0,1,1,0,0,0
2024-08-27,Burger Buns,Bakery,3,148,16.1,0,1,0,1,1
2024-08-28,Burger Buns,Bakery,3,109,15.3,0,1,0,2,0
2024-08-29,Burger Buns,Bakery,3,122,16.9,0,1,0,3,0
2024-08-30,Burger Buns,Bakery,3,180,13.2,0,1,1,4,0
2024-08-31,Burger Buns,Bakery,3,170,13.7,0,1,1,5,0
2024-09-01,Burger Buns,Bakery,3,224,21.5,0,0,1,6,0
2024-09-02,Burger Buns,Bakery,3,109,13.9,0,0,0,0,0
2024-09-03,Burger Buns,Bakery,3,106,14.2,0,0,0,1,0
2024-09-04,Burger Buns,Bakery,3,124,20.6,0,0,0,2,0
2024-09-05,Burger Buns,Bakery,3,117,22.8,0,0,0,3,0
2024-09-06,Burger Buns,Bakery,3,203,13.8,0,0,1,4,0
2024-09-07,Burger Buns,Bakery,3,178,15.4,0,0,1,5,0
2024-09-08,Burger Buns,Bakery,3,183,16.9,0,0,1,6,0
2024-09-09,Burger Buns,Bakery,3,104,19.8,0,0,0,0,0
2024-09-10,Burger Buns,Bakery,3,104,13.8,0,0,0,1,0
2024-09-11,Burger Buns,Bakery,3,125,15.3,0,0,0,2,0
2024-09-12,Burger Buns,Bakery,3,126,17.4,0,0,0,3,0
2024-09-13,Burger Buns,Bakery,3,180,16.6,0,0,1,4,0
2024-09-14,Burger Buns,Bakery,3,259,14.7,0,0,1,5,1
2024-09-15,Burger Buns,Bakery,3,178,15.1,0,0,1,6,0
2024-09-16,Burger Buns,Bakery,3,107,12.2,0,0,0,0,0
2024-09-17,Burger Buns,Bakery,3,122,14.6,0,0,0,1,0
2024-09-18,Burger Buns,Bakery,3,103,14.4,0,0,0,2,0
2024-09-19,Burger Buns,Bakery,3,126,15.4,0,0,0,3,0
2024-09-20,Burger Buns,Bakery,3,185,13.6,0,0,1,4,0
2024-09-21,Burger Buns,Bakery,3,176,15.7,0,0,1,5,0
2024-09-22,Burger Buns,Bakery,3,184,16.8,0,0,1,6,0
2024-09-23,Burger Buns,Bakery,3,94,14.8,0,0,0,0,0
2024-09-24,Burger Buns,Bakery,3,98,15.1,0,0,0,1,0
2024-09-25,Burger Buns,Bakery,3,101,14.3,0,0,0,2,0
2024-09-26,Burger Buns,Bakery,3,109,14.0,0,0,0,3,0
2024-09-27,Burger Buns,Bakery,3,169,12.3,0,0,1,4,0
2024-09-28,Burger Buns,Bakery,3,175,14.5,0,0,1,5,0
2024-09-29,Burger Buns,Bakery,3,172,13.4,0,0,1,6,0
2024-09-30,Burger Buns,Bakery,3,89,18.1,0,0,0,0,0
2024-10-01,Burger Buns,Bakery,3,95,16.8,0,0,0,1,0
2024-10-02,Burger Buns,Bakery,3,115,14.1,0,0,0,2,0
2024-10-03,Burger Buns,Bakery,3,108,11.4,0,0,0,3,0
2024-10-04,Burger Buns,Bakery,3,186,10.5,0,0,1,4,0
2024-10-05,Burger Buns,Bakery,3,199,15.5,0,0,1,5,0
2024-10-06,Burger Buns,Bakery,3,188,13.3,0,0,1,6,0
2024-10-07,Burger Buns,Bakery,3,97,13.6,0,0,0,0,0
2024-10-08,Burger Buns,Bakery,3,109,8.6,0,0,0,1,0
2024-10-09,Burger Buns,Bakery,3,119,14.4,0,0,0,2,0
2024-10-10,Burger Buns,Bakery,3,164,13.2,0,0,0,3,1
2024-10-11,Burger Buns,Bakery,3,177,9.6,0,0,1,4,0
2024-10-12,Burger Buns,Bakery,3,154,10.9,0,0,1,5,0
2024-10-13,Burger Buns,Bakery,3,172,12.4,0,0,1,6,0
2024-10-14,Burger Buns,Bakery,3,100,11.8,0,0,0,0,0
2024-10-15,Burger Buns,Bakery,3,98,10.9,0,0,0,1,0
2024-10-16,Burger Buns,Bakery,3,126,11.1,0,0,0,2,0
2024-10-17,Burger Buns,Bakery,3,127,10.7,0,0,0,3,0
2024-10-18,Burger Buns,Bakery,3,167,11.4,0,0,1,4,0
2024-10-19,Burger Buns,Bakery,3,173,14.2,0,0,1,5,0
2024-10-20,Burger Buns,Bakery,3,168,5.2,0,0,1,6,0
2024-10-21,Burger Buns,Bakery,3,96,10.2,0,0,0,0,0
2024-10-22,Burger Buns,Bakery,3,98,10.9,0,0,0,1,0
2024-10-23,Burger Buns,Bakery,3,123,11.0,0,0,0,2,0
2024-10-24,Burger Buns,Bakery,3,111,9.4,0,0,0,3,0
2024-10-25,Burger Buns,Bakery,3,182,6.3,0,0,1,4,0
2024-10-26,Burger Buns,Bakery,3,163,10.7,0,1,1,5,0
2024-10-27,Burger Buns,Bakery,3,156,13.7,0,1,1,6,0
2024-10-28,Burger Buns,Bakery,3,104,6.3,0,1,0,0,0
2024-10-29,Burger Buns,Bakery,3,103,11.5,0,1,0,1,0
2024-10-30,Burger Buns,Bakery,3,90,8.7,0,1,0,2,0
2024-10-31,Burger Buns,Bakery,3,102,9.2,0,1,0,3,0
2024-11-01,Burger Buns,Bakery,3,151,6.9,0,0,1,4,0
2024-11-02,Burger Buns,Bakery,3,189,8.3,0,0,1,5,0
2024-11-03,Burger Buns,Bakery,3,225,11.8,0,0,1,6,1
2024-11-04,Burger Buns,Bakery,3,106,10.1,0,0,0,0,0
2024-11-05,Burger Buns,Bakery,3,89,12.5,0,0,0,1,0
2024-11-06,Burger Buns,Bakery,3,125,11.1,0,0,0,2,0
2024-11-07,Burger Buns,Bakery,3,128,9.3,0,0,0,3,0
2024-11-08,Burger Buns,Bakery,3,202,12.1,0,0,1,4,0
2024-11-09,Burger Buns,Bakery,3,165,9.1,0,0,1,5,0
2024-11-10,Burger Buns,Bakery,3,168,9.8,0,0,1,6,0
2024-11-11,Burger Buns,Bakery,3,113,7.2,0,0,0,0,0
2024-11-12,Burger Buns,Bakery,3,105,7.9,0,0,0,1,0
2024-11-13,Burger Buns,Bakery,3,103,6.1,0,0,0,2,0
2024-11-14,Burger Buns,Bakery,3,97,9.7,0,0,0,3,0
2024-11-15,Burger Buns,Bakery,3,162,4.8,0,0,1,4,0
2024-11-16,Burger Buns,Bakery,3,163,9.0,0,0,1,5,0
2024-11-17,Burger Buns,Bakery,3,164,6.7,0,0,1,6,0
2024-11-18,Burger Buns,Bakery,3,96,9.6,0,0,0,0,0
2024-11-19,Burger Buns,Bakery,3,92,8.5,0,0,0,1,0
2024-11-20,Burger Buns,Bakery,3,108,10.8,0,0,0,2,0
2024-11-21,Burger Buns,Bakery,3,111,8.3,0,0,0,3,0
2024-11-22,Burger Buns,Bakery,3,162,3.1,0,0,1,4,0
2024-11-23,Burger Buns,Bakery,3,190,6.3,0,0,1,5,0
2024-11-24,Burger Buns,Bakery,3,141,3.7,0,0,1,6,0
2024-11-25,Burger Buns,Bakery,3,97,5.1,0,0,0,0,0
2024-11-26,Burger Buns,Bakery,3,102,9.4,0,0,0,1,0
2024-11-27,Burger Buns,Bakery,3,118,7.4,0,0,0,2,0
2024-11-28,Burger Buns,Bakery,3,112,4.3,0,0,0,3,0
2024-11-29,Burger Buns,Bakery,3,178,3.5,0,0,1,4,0
2024-11-30,Burger Buns,Bakery,3,187,5.7,0,0,1,5,0
2024-12-01,Burger Buns,Bakery,3,169,2.9,0,0,1,6,0
2024-12-02,Burger Buns,Bakery,3,110,4.0,0,0,0,0,0
2024-12-03,Burger Buns,Bakery,3,97,6.1,0,0,0,1,0
2024-12-04,Burger Buns,Bakery,3,106,7.8,0,0,0,2,0
2024-12-05,Burger Buns,Bakery,3,138,6.5,0,0,0,3,1
2024-12-06,Burger Buns,Bakery,3,184,0.0,0,0,1,4,0
2024-12-07,Burger Buns,Bakery,3,158,5.7,0,0,1,5,0
2024-12-08,Burger Buns,Bakery,3,175,5.1,0,0,1,6,0
2024-12-09,Burger Buns,Bakery,3,93,5.7,0,0,0,0,0
2024-12-10,Burger Buns,Bakery,3,108,8.3,0,0,0,1,0
2024-12-11,Burger Buns,Bakery,3,107,0.1,0,0,0,2,0
2024-12-12,Burger Buns,Bakery,3,108,3.3,0,0,0,3,0
2024-12-13,Burger Buns,Bakery,3,173,5.8,0,0,1,4,0
2024-12-14,Burger Buns,Bakery,3,172,0.9,0,0,1,5,0
2024-12-15,Burger Buns,Bakery,3,170,7.6,0,0,1,6,0
2024-12-16,Burger Buns,Bakery,3,96,5.1,0,0,0,0,0
2024-12-17,Burger Buns,Bakery,3,90,6.0,0,0,0,1,0
2024-12-18,Burger Buns,Bakery,3,110,2.9,0,0,0,2,0
2024-12-19,Burger Buns,Bakery,3,81,5.8,0,0,0,3,0
2024-12-20,Burger Buns,Bakery,3,232,6.3,0,1,1,4,1
2024-12-21,Burger Buns,Bakery,3,161,4.4,0,1,1,5,0
2024-12-22,Burger Buns,Bakery,3,176,4.4,0,1,1,6,0
2024-12-23,Burger Buns,Bakery,3,103,4.4,0,1,0,0,0
2024-12-24,Burger Buns,Bakery,3,111,1.8,0,1,0,1,0
2024-12-25,Burger Buns,Bakery,3,0,3.3,1,1,0,2,0
2024-12-26,Burger Buns,Bakery,3,170,3.3,1,1,0,3,0
2024-12-27,Burger Buns,Bakery,3,170,4.4,0,1,1,4,0
2024-12-28,Burger Buns,Bakery,3,152,5.7,0,1,1,5,0
2024-12-29,Burger Buns,Bakery,3,148,1.1,0,1,1,6,0
2024-12-30,Burger Buns,Bakery,3,95,3.1,0,1,0,0,0
2024-12-31,Burger Buns,Bakery,3,115,6.6,0,1,0,1,0
2025-01-01,Burger Buns,Bakery,3,178,1.7,1,1,0,2,0
2025-01-02,Burger Buns,Bakery,3,114,1.5,0,1,0,3,0
2025-01-03,Burger Buns,Bakery,3,189,3.7,0,0,1,4,0
2025-01-04,Burger Buns,Bakery,3,162,5.1,0,0,1,5,0
2025-01-05,Burger Buns,Bakery,3,147,3.2,0,0,1,6,0
2025-01-06,Burger Buns,Bakery,3,119,6.1,0,0,0,0,0
2025-01-07,Burger Buns,Bakery,3,110,5.0,0,0,0,1,0
2025-01-08,Burger Buns,Bakery,3,113,5.0,0,0,0,2,0
2025-01-09,Burger Buns,Bakery,3,116,4.3,0,0,0,3,0
